Kyle Allen;BUF
Matt Barkley;JAX
* Isekai'd Matt Barkley;JAX
Kyle Trask;TB
* Bad-Ending Kyle Trask;TB
AJ McCarron;CIN
* Glitched AJ McCarron;CIN
Mike White;MIA
* Skinwalker Mike White;MIA
Jaren Hall;MIN
* Skinwalker Jaren Hall;MIN
Cooper Rush;DAL
* Twisted Cooper Rush;DAL
Blaine Gabbert;KC
* Twisted Blaine Gabbert;KC
Marcus Mariota;PHI
* Alternate Marcus Mariota;PHI
C.J. Beathard;JAX
* Tainted C.J. Beathard;JAX
Sam Darnold;SF
Tyler Huntley;BAL
* Phantom Tyler Huntley;BAL
Drew Lock;SEA
* Skinwalker Drew Lock;SEA
Daniel Jones;NYG
* Funtime Daniel Jones;NYG
Easton Stick;LAC
Nick Mullens;MIN
Tyrod Taylor;NYG
Tommy DeVito;NYG
Jake Browning;CIN
Joe Burrow;CIN
Kirk Cousins;MIN
Joshua Dobbs;MIN
Geno Smith;SEA
Justin Herbert;LAC
Trevor Lawrence;JAX
Baker Mayfield;TB
Tua Tagovailoa;MIA
Patrick Mahomes;KC
Brock Purdy;SF
Lamar Jackson;BAL
Dak Prescott;DAL
Jalen Hurts;PHI
