David Wells;TB
* Corrupted David Wells;TB
Nick Vannett;LAC
* Phantom Nick Vannett;LAC
Ross Dwelley;SF
Nick Muse;MIN
Charlie Woerner;SF
* Bad-Ending Charlie Woerner;SF
Ko Kieft;TB
* Bootleg Ko Kieft;TB
Grant Calcaterra;PHI
* Good-Ending Grant Calcaterra;PHI
Jack Stoll;PHI
* Doppelganger Jack Stoll;PHI
Julian Hill;MIA
Peyton Hendershot;DAL
* Uncanny Peyton Hendershot;DAL
Payne Durham;TB
* Uncanny Payne Durham;TB
Quintin Morris;BUF
Blake Bell;KC
Lawrence Cager;NYG
Brenton Strange;JAX
* Evil Brenton Strange;JAX
Mitchell Wilcox;CIN
Charlie Kolar;BAL
* Bootleg Charlie Kolar;BAL
Luke Schoonmaker;DAL
Luke Farrell;JAX
* Clone Luke Farrell;JAX
Stone Smartt;LAC
Irv Smith;CIN
* Bad-Ending Irv Smith;CIN
Will Dissly;SEA
Johnny Mundt;MIN
* True-Ending Johnny Mundt;MIN
Drew Sample;CIN
* Clone Drew Sample;CIN
Daniel Bellinger;NYG
* Funtime Daniel Bellinger;NYG
Josh Oliver;MIN
Dawson Knox;BUF
* Phantom Dawson Knox;BUF
Colby Parkinson;SEA
* Withered Colby Parkinson;SEA
Noah Gray;KC
Durham Smythe;MIA
Noah Fant;SEA
* Uncanny Noah Fant;SEA
Donald Parham;LAC
Tanner Hudson;CIN
Isaiah Likely;BAL
Gerald Everett;LAC
* Tainted Gerald Everett;LAC
Darren Waller;NYG
* Glitched Darren Waller;NYG
Cade Otton;TB
* Glitched Cade Otton;TB
Mark Andrews;BAL
* Altered Mark Andrews;BAL
Dallas Goedert;PHI
Dalton Kincaid;BUF
* Tainted Dalton Kincaid;BUF
Jake Ferguson;DAL
George Kittle;SF
T.J. Hockenson;MIN
Travis Kelce;KC
* Funtime Travis Kelce;KC
Evan Engram;JAX
* Evil Evan Engram;JAX
