CeeDee Lamb;DAL
Tyreek Hill;MIA
A.J. Brown;PHI
DJ Moore;CHI
Stefon Diggs;BUF
Ja'Marr Chase;CIN
DeVonta Smith;PHI
Jordan Addison;MIN
Jayden Reed;GB
* Corrupted Jayden Reed;GB
Garrett Wilson;NYJ
Terry McLaurin;WAS
* Altered Terry McLaurin;WAS
George Pickens;PIT
Zay Flowers;BAL
Justin Jefferson;MIN
Jaylen Waddle;MIA
* Sigma Jaylen Waddle;MIA
Romeo Doubs;GB
Brandin Cooks;DAL
Gabe Davis;BUF
Curtis Samuel;WAS
* Clone Curtis Samuel;WAS
Diontae Johnson;PIT
* Hawk Tuah Diontae Johnson;PIT
Darius Slayton;NYG
Tyler Boyd;CIN
* Narco-Terrorist Tyler Boyd;CIN
Tee Higgins;CIN
Wan'Dale Robinson;NYG
* Tainted Wan'Dale Robinson;NYG
Jahan Dotson;WAS
K.J. Osborn;MIN
* Bootleg K.J. Osborn;MIN
Dontayvion Wicks;GB
Khalil Shakir;BUF
Odell Beckham;BAL
DeMario Douglas;NE
Christian Watson;GB
Kendrick Bourne;NE
Nelson Agholor;BAL
* Punished Nelson Agholor;BAL
* Ultra-Rare Nelson Agholor;BAL
Michael Gallup;DAL
Darnell Mooney;CHI
Rashod Bateman;BAL
* Good-Ending Rashod Bateman;BAL
DeVante Parker;NE
Cedrick Wilson;MIA
* Long Cedrick Wilson;MIA
Brandon Powell;MIN
Trenton Irwin;CIN
Allen Robinson;PIT
JuJu Smith-Schuster;NE
* Bad-Ending JuJu Smith-Schuster;NE
Jalin Hyatt;NYG
Allen Lazard;NYJ
Isaiah Hodgins;NYG
KaVontae Turpin;DAL
Jalen Tolbert;DAL
* Punished Jalen Tolbert;DAL
Xavier Gipson;NYJ
Braxton Berrios;MIA
* Phantom Braxton Berrios;MIA
Calvin Austin;PIT
Andrei Iosivas;CIN
Bo Melton;GB
Deonte Harty;BUF
Olamide Zaccheaus;PHI
* Long Olamide Zaccheaus;PHI
Julio Jones;PHI
Dyami Brown;WAS
* Bargain Bin Dyami Brown;WAS
Tyler Scott;CHI
Jamison Crowder;WAS
Quez Watkins;PHI
Malik Heath;GB
Parris Campbell;NYG
Jalen Reagor;NE
Byron Pringle;WAS
Tyquan Thornton;NE
* Lil' Tyquan Thornton;NE
River Cracraft;MIA
* Glitched River Cracraft;MIA
Trent Sherfield;BUF
Robbie Chosen;MIA
Chase Claypool;MIA
Charlie Jones;CIN
Sterling Shepard;NYG
Randall Cobb;NYJ
Jason Brownlee;NYJ
Samori Toure;GB
* Altered Samori Toure;GB
Jalen Brooks;DAL
Equanimeous St. Brown;CHI
Devin Duvernay;BAL
* True-Ending Devin Duvernay;BAL
Britain Covey;PHI
* Lil' Britain Covey;PHI
Tylan Wallace;BAL
Jalen Nailor;MIN
Trishton Jackson;MIN
Miles Boykin;PIT
* Lil' Miles Boykin;PIT
Kayshon Boutte;NE
* Hawk Tuah Kayshon Boutte;NE
Malik Taylor;NYJ
Gunner Olszewski;NYG
Laquon Treadwell;BAL
Erik Ezukanma;MIA
Collin Johnson;CHI
Kwamie Lassiter;CIN
Matthew Golden;GB
* Good-Ending Matthew Golden;GB
Shaq Roland;CHI
Jakobie Keeney-James;GB
* Glitched Jakobie Keeney-James;GB
Beaux Collins;NYG
Will Sheppard;GB
Qadir Ismail;CHI
* Alternate Qadir Ismail;CHI
Brandon Smith;PIT
* Bad-Ending Brandon Smith;PIT
Jeshaun Jones;MIN
Myles Price;MIN
* Long Myles Price;MIN
Da'Quan Felton;NYG
JP Richardson;CHI
Ryan Flournoy;DAL
Xavier Johnson;CIN
* Skinwalker Xavier Johnson;CIN
Quentin Skinner;NYJ
Tahj Washington;MIA
Adonai Mitchell;NYJ
Cornelius Johnson;BAL
Keon Coleman;BUF
Theo Wease;MIA
Kyle Williams;NE
AJ Henning;MIA
* Clone AJ Henning;MIA
Cole Burgess;PIT
Jacoby Jones;WAS
Darius Cooper;PHI
DeAndre Thompkins;GB
Allen Hurns;MIA
John Jiles;NE
* Lil' John Jiles;NE
