Tyson Bagent;CHI
* Withered Tyson Bagent;CHI
Jake Browning;CIN
Kyle Allen;PIT
* Funtime Kyle Allen;PIT
Josh Johnson;BAL
* Bargain Bin Josh Johnson;BAL
Mike White;BUF
* Punished Mike White;BUF
Nick Mullens;MIN
* Tainted Nick Mullens;MIN
Skylar Thompson;MIA
* Lil' Skylar Thompson;MIA
Tommy DeVito;NYG
* Skinwalker Tommy DeVito;NYG
Trey Lance;DAL
* Punished Trey Lance;DAL
Tim Boyle;NYG
* Twisted Tim Boyle;NYG
Mitchell Trubisky;BUF
Joe Milton;NE
* Bad-Ending Joe Milton;NE
Tyrod Taylor;NYJ
* Evil Tyrod Taylor;NYJ
Kenny Pickett;PHI
* Evil Kenny Pickett;PHI
Tanner McKee;PHI
Marcus Mariota;WAS
Jacoby Brissett;NE
Malik Willis;GB
Tyler Huntley;MIA
Drew Lock;NYG
Cooper Rush;DAL
Justin Fields;PIT
Dak Prescott;DAL
Daniel Jones;MIN
Russell Wilson;PIT
Drake Maye;NE
Tua Tagovailoa;MIA
Jordan Love;GB
Caleb Williams;CHI
Aaron Rodgers;NYJ
Sam Darnold;MIN
Jalen Hurts;PHI
Jayden Daniels;WAS
Joe Burrow;CIN
Josh Allen;BUF
